source,target,weight
1,6,1
1,9,1
1,10,1
1,12,1
1,13,1
1,16,1
1,18,1
1,22,1
1,23,1
1,25,1
1,26,1
1,27,1
1,28,1
1,30,1
1,31,1
1,32,1
1,34,1
1,35,1
1,37,1
1,38,1
1,39,1
1,40,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,50,1
1,51,1
1,52,1
1,54,1
1,56,1
1,57,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,66,1
1,67,1
1,68,1
1,70,1
1,71,1
1,72,1
1,73,1
1,76,1
1,79,1
1,80,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,90,1
1,91,1
1,92,1
1,94,1
1,95,1
1,97,1
1,98,1
1,102,1
1,105,1
1,106,1
1,107,1
1,108,1
1,109,1
1,110,1
1,111,1
1,113,1
1,114,1
1,115,1
1,116,1
1,117,1
1,118,1
1,120,1
1,121,1
1,123,1
1,124,1
1,127,1
1,128,1
1,130,1
1,133,1
1,136,1
1,137,1
1,138,1
1,140,1
1,141,1
1,142,1
1,143,1
2,4,1
2,5,1
2,6,1
2,11,1
2,12,1
2,17,1
2,18,1
2,21,1
2,25,1
2,26,1
2,28,1
2,30,1
2,31,1
2,32,1
2,34,1
2,35,1
2,40,1
2,41,1
2,44,1
2,47,1
2,49,1
2,59,1
2,62,1
2,64,1
2,66,1
2,67,1
2,68,1
2,69,1
2,72,1
2,75,1
2,76,1
2,79,1
2,82,1
2,83,1
2,84,1
2,86,1
2,87,1
2,91,1
2,92,1
2,93,1
2,94,1
2,97,1
2,99,1
2,102,1
2,106,1
2,108,1
2,111,1
2,114,1
2,120,1
2,121,1
2,124,1
2,128,1
2,134,1
2,137,1
2,138,1
2,157,1
2,165,1
2,175,1
2,183,1
2,193,1
2,198,1
2,203,1
2,208,1
2,211,1
2,216,1
2,217,1
2,219,1
2,220,1
2,237,1
2,257,1
2,271,1
2,284,1
2,285,1
2,287,1
2,289,1
2,290,1
2,291,1
2,292,1
2,293,1
2,295,1
2,296,1
2,297,1
2,298,1
2,300,1
2,302,1
2,303,1
2,304,1
2,305,1
2,309,1
2,310,1
2,311,1
2,312,1
2,313,1
2,314,1
2,315,1
2,316,1
2,317,1
2,318,1
2,319,1
2,320,1
2,321,1
2,322,1
2,323,1
2,324,1
2,326,1
2,327,1
2,328,1
2,329,1
2,330,1
2,331,1
2,332,1
2,333,1
2,335,1
2,336,1
2,338,1
2,340,1
2,341,1
2,342,1
2,344,1
2,345,1
2,346,1
2,347,1
2,349,1
2,350,1
2,351,1
2,353,1
2,354,1
2,355,1
2,356,1
2,357,1
2,360,1
2,361,1
2,363,1
2,364,1
2,365,1
2,366,1
2,367,1
2,368,1
2,369,1
2,370,1
2,371,1
2,372,1
2,373,1
2,374,1
2,375,1
2,377,1
2,379,1
2,380,1
2,381,1
2,382,1
2,383,1
2,384,1
2,385,1
2,386,1
2,387,1
2,388,1
2,389,1
2,390,1
2,391,1
2,392,1
2,393,1
2,394,1
2,395,1
2,396,1
2,397,1
2,398,1
2,400,1
2,401,1
2,402,1
2,403,1
2,404,1
2,405,1
2,406,1
2,408,1
2,409,1
2,411,1
2,412,1
2,413,1
2,414,1
2,415,1
2,416,1
2,417,1
2,419,1
2,421,1
2,422,1
2,423,1
2,425,1
2,426,1
2,427,1
2,428,1
2,441,1
2,465,1
2,486,1
2,488,1
2,489,1
2,494,1
2,502,1
2,504,1
2,513,1
2,519,1
2,525,1
2,556,1
2,576,1
2,579,1
2,593,1
2,614,1
2,619,1
2,623,1
2,633,1
2,650,1
2,652,1
2,654,1
2,655,1
2,665,1
2,688,1
2,771,1
2,837,1
2,881,1
2,901,1
2,911,1
2,916,1
2,950,1
2,974,1
2,1019,1
2,1025,1
2,1031,1
2,1033,1
2,1055,1
2,1075,1
2,1089,1
2,1091,1
2,1254,1
2,1276,1
2,1324,1
2,1328,1
2,1330,1
2,1334,1
2,1346,1
2,1385,1
2,1395,1
2,1425,1
2,1447,1
2,1515,1
2,1538,1
2,1567,1
2,1753,1
2,1757,1
2,1763,1
2,1782,1
2,1841,1
2,1950,1
2,2117,1
2,2123,1
2,2150,1
2,2236,1
2,2259,1
2,2281,1
2,2346,1
2,2437,1
2,2704,1
2,2907,1
2,2921,1
2,2948,1
2,2991,1
2,3205,1
2,3376,1
2,3399,1
2,3573,1
2,3855,1
2,3858,1
2,4001,1
2,4030,1
2,4041,1
2,4262,1
2,4369,1
2,5019,1
2,6455,1
2,6690,1
2,7760,1
2,8342,1
2,12474,1
3,6,1
3,13,1
3,27,1
3,31,1
3,32,1
3,34,1
3,36,1
3,49,1
3,52,1
3,59,1
3,66,1
3,73,1
3,88,1
3,90,1
3,91,1
3,94,1
3,103,1
3,104,1
3,105,1
3,106,1
3,111,1
3,124,1
3,128,1
3,154,1
3,217,1
3,271,1
3,293,1
3,305,1
3,307,1
3,309,1
3,376,1
3,484,1
3,485,1
3,488,1
3,489,1
3,490,1
3,491,1
3,494,1
3,495,1
3,496,1
3,497,1
3,498,1
3,500,1
3,501,1
3,502,1
3,503,1
3,642,1
4,30,1
4,31,1
4,32,1
4,326,1
4,333,1
4,612,1
4,613,1
4,618,1
4,619,1
4,620,1
4,621,1
4,623,1
